,date,sentiment
1193,20111222,0.5
1192,20111223,0.5
1196,20111227,0.5
1198,20111228,0.5
1197,20111229,0.5
1084,20111230,0.4
995,20120103,0.5
997,20120104,0.7
998,20120105,0.5
996,20120106,0.5
994,20120109,0.5
1110,20120110,0.5
1109,20120111,0.7
525,20120112,0.5
1111,20120113,0.5
1108,20120117,0.5
1106,20120118,0.5
1105,20120119,0.5
798,20120120,0.4
799,20120123,0.3
794,20120124,0.5
795,20120125,0.4
796,20120126,0.3
797,20120127,0.266666666667
885,20120130,0.5
884,20120131,0.2
1138,20120201,0.5
1140,20120202,0.5
1139,20120203,0.1
1142,20120206,0.5
1141,20120207,0.5
1144,20120208,0.5
1143,20120209,0.5
1023,20120210,0.5
1022,20120213,0.5
1020,20120214,0.5
1021,20120215,0.7
1018,20120216,0.5
1019,20120217,0.6
910,20120221,0.5
909,20120222,0.5
908,20120223,0.5
912,20120224,0.8
911,20120227,0.55
907,20120228,0.75
906,20120229,0.5
1236,20120301,0.5
1237,20120302,0.6
1238,20120305,0.5
1239,20120306,0.5
1240,20120307,0.5
1234,20120308,0.4
1235,20120309,0.5
1333,20120312,0.5
1332,20120313,0.5
1337,20120314,0.5
1336,20120315,0.5
1335,20120316,-0.1
418,20120319,0.5
1441,20120320,0.5
1442,20120321,0.5
1439,20120322,0.5
1440,20120323,0.5
1437,20120326,0.5
1438,20120327,0.425
1048,20120328,0.5
1436,20120329,0.5
25,20120330,0.5
3,20120402,0.5
2,20120403,0.5
1,20120404,0.5
0,20120405,0.2
4,20120409,0.466666666667
1394,20120410,0.6
1395,20120411,0.45
1396,20120412,0.6
1397,20120413,0.1
1392,20120416,0.433333333333
1393,20120417,0.6
1398,20120418,0.8
1399,20120419,0.5
260,20120420,0.5
261,20120423,0.5
257,20120424,0.5
256,20120425,0.6
259,20120426,0.4
258,20120427,0.5
132,20120430,0.5
123,20120501,0.5
121,20120502,0.5
122,20120503,0.5
120,20120504,0.3
119,20120507,0.5
116,20120508,1.1
117,20120509,0.55
229,20120510,0.3
228,20120511,0.3
233,20120514,0.5
232,20120515,0.5
235,20120516,0.5
234,20120517,0.3
1367,20120518,0.5
1419,20120521,0.7
1420,20120522,0.7
1421,20120523,0.633333333333
1422,20120524,0.5
1423,20120525,0.5
936,20120529,0.5
8,20120530,0.5
7,20120531,0.5
646,20120601,0.5
643,20120604,0.0
642,20120605,0.5
645,20120606,0.5
644,20120607,0.75
652,20120608,0.5
221,20120611,0.1
553,20120612,0.4
554,20120613,0.5
557,20120614,0.5
558,20120615,0.5
561,20120618,0.5
250,20120619,0.5
458,20120620,0.5
457,20120621,0.5
456,20120622,0.5
455,20120625,0.4
454,20120626,0.5
453,20120627,0.5
452,20120628,0.2
451,20120629,0.4
61,20120702,0.5
62,20120703,0.5
780,20120705,0.5
781,20120706,0.5
46,20120709,0.5
711,20120710,0.5
881,20120711,0.5
880,20120712,0.5
879,20120713,0.5
877,20120716,0.5
876,20120717,0.7
708,20120718,0.5
874,20120719,0.55
983,20120720,0.5
552,20120723,0.65
753,20120724,0.5
987,20120725,0.9
984,20120726,0.5
985,20120727,0.4
1102,20120730,0.5
1101,20120731,0.5
687,20120801,0.5
1036,20120802,0.5
1035,20120803,0.5
689,20120806,0.5
688,20120807,0.5
1027,20120808,0.5
1026,20120809,0.5
596,20120810,0.5
597,20120813,0.5
598,20120814,0.5
599,20120815,0.5
600,20120816,0.5
406,20120817,0.5
893,20120820,0.1
892,20120821,0.6
895,20120822,0.4
894,20120823,0.5
896,20120824,0.5
897,20120827,0.5
900,20120828,0.5
899,20120829,0.5
152,20120830,0.5
816,20120831,0.5
1187,20120904,0.7
1188,20120905,0.5
817,20120906,0.5
818,20120907,0.5
150,20120910,0.5
145,20120911,0.5
1280,20120912,0.5
1279,20120913,0.5
1275,20120914,0.5
1276,20120917,0.5
1284,20120918,0.5
1283,20120919,0.5
954,20120920,0.3
955,20120921,0.5
950,20120924,0.5
951,20120925,0.3
952,20120926,0.7
953,20120927,0.5
947,20120928,0.5
287,20121001,0.5
63,20121002,0.5
66,20121003,0.5
71,20121004,0.35
291,20121005,0.5
283,20121008,0.5
284,20121009,0.5
398,20121010,0.65
397,20121011,0.5
396,20121012,0.6
720,20121015,0.4
400,20121016,0.7
399,20121017,0.5
1413,20121018,0.5
709,20121019,0.5
520,20121022,0.5
521,20121023,0.5
518,20121024,0.5
519,20121025,0.8
517,20121026,0.5
610,20121031,0.5
161,20121101,0.5
162,20121102,0.5
163,20121105,0.5
165,20121106,0.5
164,20121107,0.6
167,20121108,0.5
166,20121109,0.5
38,20121112,0.5
39,20121113,0.5
36,20121114,0.1
37,20121115,0.5
35,20121116,0.5
34,20121119,0.5
1451,20121120,0.7
1450,20121121,0.5
1448,20121123,0.5
1156,20121126,0.5
1155,20121127,0.5
1445,20121128,0.0
1444,20121129,0.4
1354,20121130,0.5
20,20121203,0.533333333333
23,20121204,0.5
24,20121205,0.5
21,20121206,0.5
22,20121207,0.4
140,20121210,0.55
139,20121211,0.5
142,20121212,0.5
141,20121213,0.5
137,20121214,0.5
138,20121217,0.7
136,20121218,0.5
135,20121219,0.5
1330,20121220,0.5
1331,20121221,0.5
1327,20121224,0.4
1328,20121226,0.5
1329,20121227,0.5
1334,20121228,0.5
1435,20121231,0.5
731,20130102,0.5
730,20130103,0.5
734,20130104,0.5
732,20130107,0.6
725,20130108,0.5
724,20130109,0.5
625,20130110,0.5
626,20130111,0.5
