,date,sentiment
49,20130918,0.5
50,20130919,0.5
1097,20130920,0.5
1098,20130923,0.5
1101,20130924,0.5
480,20130925,0.5
1103,20130926,0.5
1102,20130927,0.5
989,20130930,0.5
1455,20131001,0.5
1458,20131002,0.5
1457,20131003,0.5
1452,20131004,0.0
1157,20131007,0.5
1450,20131008,0.5
1449,20131009,0.4
1358,20131010,0.5
1359,20131011,0.5
1362,20131014,0.5
1363,20131015,0.5
1360,20131016,0.5
1361,20131017,0.5
1355,20131018,0.5
1250,20131021,0.5
1249,20131022,0.5
1248,20131023,0.5
1247,20131024,0.7
1246,20131025,0.55
1252,20131028,0.5
1251,20131029,0.5
1166,20131030,0.7
1167,20131031,0.5
44,20131101,0.5
40,20131104,0.5
41,20131105,0.5
42,20131106,0.7
43,20131107,0.5
45,20131108,0.5
178,20131111,0.5
177,20131112,0.5
176,20131113,0.5
175,20131114,0.5
174,20131115,0.5
180,20131118,0.5
179,20131119,0.5
288,20131120,0.5
289,20131121,0.4
286,20131122,0.5
292,20131125,0.5
290,20131126,0.45
73,20131127,0.5
60,20131129,0.5
1219,20131202,0.5
1218,20131203,0.7
1217,20131204,0.5
1216,20131205,0.5
1215,20131206,0.5
1214,20131209,0.5
1137,20131210,0.5
1138,20131211,0.5
1139,20131212,0.5
1140,20131213,0.5
1135,20131216,0.5
1136,20131217,0.5
1133,20131218,0.7
1134,20131219,0.5
1420,20131220,0.7
1421,20131223,0.5
1417,20131224,0.6
1419,20131226,0.5
1418,20131227,0.5
1310,20131230,0.4
1311,20131231,0.5
1148,20140102,0.5
621,20140103,0.5
90,20140106,0.5
91,20140107,0.5
1055,20140108,0.5
85,20140109,0.5
206,20140110,0.5
205,20140113,0.5
204,20140114,0.5
203,20140115,0.5
202,20140116,0.5
201,20140117,0.5
334,20140121,0.4
390,20140122,0.5
333,20140123,0.5
336,20140124,0.1
335,20140127,0.5
337,20140128,0.5
338,20140129,0.5
1041,20140130,0.5
1040,20140131,0.5
706,20140203,0.5
605,20140204,0.55
700,20140205,0.5
872,20140206,0.4
698,20140207,0.25
778,20140210,0.5
708,20140211,1.1
47,20140212,0.5
48,20140213,0.55
678,20140214,0.7
57,20140218,0.45
59,20140219,0.45
481,20140220,0.466666666667
1100,20140221,0.65
472,20140224,0.65
1096,20140225,0.5
1099,20140226,0.65
478,20140227,0.8
1095,20140228,0.5
1019,20140303,0.45
1016,20140304,0.5
1406,20140305,0.5
1014,20140306,0.5
1015,20140307,0.575
1119,20140310,0.466666666667
1118,20140311,0.35
1121,20140312,0.575
1120,20140313,0.5
1123,20140314,0.4
1124,20140317,0.55
1127,20140318,0.85
1126,20140319,0.5
814,20140320,0.1
815,20140321,0.7
816,20140324,0.7
817,20140325,0.9
818,20140326,0.6
154,20140327,0.7
124,20140328,0.4
904,20140331,0.55
461,20140401,0.46
463,20140402,0.5
462,20140403,0.25
464,20140404,0.766666666667
465,20140407,0.75
467,20140408,0.4
466,20140409,0.5
359,20140410,0.5
360,20140411,0.5
357,20140414,0.5
358,20140415,0.5
355,20140416,0.4
356,20140417,0.5
238,20140421,0.5
237,20140422,0.5
236,20140423,0.533333333333
240,20140424,0.55
239,20140425,0.5
231,20140428,0.6
230,20140429,0.5
118,20140430,0.7
580,20140501,0.6
581,20140502,0.5
582,20140505,0.2
583,20140506,0.525
584,20140507,0.533333333333
578,20140508,0.566666666667
579,20140509,0.5
673,20140512,0.475
672,20140513,0.62
677,20140514,0.65
676,20140515,0.7
675,20140516,0.5
666,20140519,0.68
795,20140520,0.4
796,20140521,0.575
793,20140522,0.55
794,20140523,0.5
792,20140527,0.5
790,20140528,0.466666666667
791,20140529,0.6
886,20140530,0.5
219,20140602,0.55
218,20140603,0.5
1456,20140604,0.5
1446,20140605,0.466666666667
223,20140606,0.62
226,20140609,0.65
108,20140610,0.5
699,20140611,0.525
110,20140612,0.5
111,20140613,0.5
112,20140616,0.55
113,20140617,0.5
114,20140618,0.5
115,20140619,0.8
446,20140620,0.5
1107,20140623,0.7
449,20140624,0.5
448,20140625,0.5
451,20140626,0.5
1116,20140627,0.525
351,20140630,0.7
372,20140701,0.55
370,20140702,0.5
371,20140703,0.9
373,20140707,0.4
368,20140708,0.566666666667
369,20140709,0.9
153,20140710,0.5
477,20140711,0.5
474,20140714,0.5
473,20140715,0.5
476,20140716,0.5
475,20140717,0.5
471,20140718,0.533333333333
96,20140721,0.5
97,20140722,0.3
98,20140723,0.5
94,20140724,0.6
95,20140725,0.55
99,20140728,0.5
100,20140729,0.5
208,20140730,0.3
207,20140731,0.5
1369,20140801,0.5
1366,20140804,0.5
1365,20140805,0.55
1368,20140806,0.5
1367,20140807,0.425
1364,20140808,0.5
1259,20140811,0.5
1257,20140812,0.5
1258,20140813,0.5
1260,20140814,0.5
1261,20140815,0.5
1254,20140818,0.5
1255,20140819,0.5
1173,20140820,0.5
1172,20140821,0.5
1171,20140822,0.2
1170,20140825,0.4
1169,20140826,0.7
1168,20140827,0.5
1175,20140828,0.5
1174,20140829,0.1
1461,20140902,0.4
1462,20140903,0.6
1459,20140904,0.5
1460,20140905,0.85
1463,20140908,0.5
1464,20140909,0.5
56,20140910,0.5
55,20140911,0.566666666667
54,20140912,0.5
53,20140915,0.566666666667
52,20140916,0.5
51,20140917,0.7
421,20140918,0.3
58,20140919,0.55
182,20140922,0.9
183,20140923,0.5
185,20140924,0.5
186,20140925,0.8
184,20140926,0.5
181,20140929,0.48
294,20140930,0.7
920,20141001,0.2
918,20141002,0.525
919,20141003,0.5
921,20141006,0.72
922,20141007,0.4
916,20141008,0.5
917,20141009,1.0
1035,20141010,0.3
1036,20141013,0.6
1032,20141014,0.3
1031,20141015,0.5
1034,20141016,0.5
1033,20141017,0.5
668,20141020,0.3
669,20141021,0.6
670,20141022,0.5
671,20141023,0.5
665,20141024,0.5
667,20141027,0.5
674,20141028,0.7
947,20141029,0.5
1371,20141030,0.5
68,20141031,0.7
809,20141103,0.6
813,20141104,0.7
812,20141105,0.5
811,20141106,0.45
810,20141107,0.55
1027,20141110,0.6
1028,20141111,0.5
682,20141112,0.44
683,20141113,0.425
684,20141114,0.5
1037,20141117,0.7
688,20141118,0.5
689,20141119,0.6
1004,20141120,0.6
1003,20141121,0.5
1006,20141124,0.475
1005,20141125,0.433333333333
1007,20141126,0.5
1002,20141128,0.5
1152,20141201,0.5
1153,20141202,0.7
1154,20141203,0.5
1155,20141204,0.35
1156,20141205,0.5
1149,20141208,0.8
1150,20141209,0.6
1233,20141210,0.533333333333
1232,20141211,0.533333333333
1231,20141212,0.5
1236,20141215,0.6
1235,20141216,0.5
1234,20141217,0.5
1230,20141218,0.4
1229,20141219,0.2
1328,20141222,0.5
1329,20141223,0.5
1327,20141224,0.5
1326,20141226,0.5
1325,20141229,0.7
1437,20141230,0.5
1436,20141231,0.7
894,20150102,0.7
891,20150105,0.5
893,20150106,0.5
892,20150107,0.5
890,20150108,1.1
889,20150109,0.5
804,20150112,0.6
805,20150113,0.5
807,20150114,0.6
808,20150115,0.6
806,20150116,0.5
687,20150120,0.5
686,20150121,0.5
685,20150122,0.5
323,20150123,0.5
681,20150126,0.466666666667
680,20150127,0.5
694,20150128,0.266666666667
693,20150129,0.65
594,20150130,0.5
771,20150202,0.5
772,20150203,0.466666666667
769,20150204,0.333333333333
770,20150205,0.5
768,20150206,0.475
773,20150209,0.6
866,20150210,0.566666666667
865,20150211,0.5
868,20150212,0.5
867,20150213,0.7
869,20150217,0.5
864,20150218,0.6
863,20150219,0.4
572,20150220,0.3
573,20150223,0.5
574,20150224,0.55
575,20150225,0.7
576,20150226,0.7
577,20150227,0.466666666667
644,20150302,0.675
643,20150303,0.5
642,20150304,0.5
641,20150305,0.5
640,20150306,0.7
639,20150309,0.5
550,20150310,0.8
551,20150311,0.5
552,20150312,0.5
553,20150313,0.7
548,20150316,0.5
549,20150317,0.5
545,20150318,0.7
546,20150319,0.5
852,20150320,0.5
853,20150323,0.3
849,20150324,0.5
848,20150325,0.7
851,20150326,0.5
850,20150327,0.5
746,20150330,0.5
747,20150331,0.5
374,20150401,0.5
375,20150402,0.5
376,20150406,0.5
377,20150407,0.5
378,20150408,0.45
379,20150409,0.5
491,20150410,0.15
490,20150413,0.5
495,20150414,0.55
494,20150415,0.466666666667
493,20150416,0.5
492,20150417,0.5
596,20150420,0.5
597,20150421,0.5
389,20150422,0.566666666667
595,20150423,0.7
593,20150424,0.5
592,20150427,0.5
407,20150428,0.5
603,20150429,0.5
679,20150430,0.3
